period,buy_amount,repay_amount,balance,buy_amount_yoy,indicator_name
2017-01-02/2017-01-08,130345302128.0,136661754646.0,537500878600.0,,margin_borrow_amount_W_yoy
2017-01-09/2017-01-15,151161181398.0,164089813268.0,528892909817.0,,margin_borrow_amount_W_yoy
2017-01-16/2017-01-22,125593754407.0,153382296392.0,377584695992.0,,margin_borrow_amount_W_yoy
2017-01-23/2017-01-29,84245092617.0,107970705412.0,498374008721.0,,margin_borrow_amount_W_yoy
2017-01-30/2017-02-05,21708532011.0,17010809220.0,368121106596.0,,margin_borrow_amount_W_yoy
2017-02-06/2017-02-12,161039070735.0,151222377926.0,370023688362.0,,margin_borrow_amount_W_yoy
2017-02-13/2017-02-19,201119934460.0,190532409643.0,517982129346.0,,margin_borrow_amount_W_yoy
2017-02-20/2017-02-26,206896134881.0,195594026501.0,525654220836.0,,margin_borrow_amount_W_yoy
2017-02-27/2017-03-05,181892906297.0,177712821933.0,377674049528.0,,margin_borrow_amount_W_yoy
2017-03-06/2017-03-12,174130354456.0,174325685561.0,527549728744.0,,margin_borrow_amount_W_yoy
2017-03-13/2017-03-19,198225324832.0,188266354195.0,382898499518.0,,margin_borrow_amount_W_yoy
2017-03-20/2017-03-26,211528319814.0,205278255115.0,537615245684.0,,margin_borrow_amount_W_yoy
2017-03-27/2017-04-02,200617037588.0,204200644358.0,535699641718.0,0.53911981722972,margin_borrow_amount_W_yoy
2017-04-03/2017-04-09,152264695537.0,148788795551.0,537567404709.0,0.00730024817743713,margin_borrow_amount_W_yoy
2017-04-10/2017-04-16,285531650703.0,274458047009.0,544867962113.0,1.2734542179359027,margin_borrow_amount_W_yoy
2017-04-17/2017-04-23,201465320725.0,215488032452.0,379943014518.0,1.391419066282157,margin_borrow_amount_W_yoy
2017-04-24/2017-04-30,187121836484.0,200994270848.0,530329667127.0,7.619736995075618,margin_borrow_amount_W_yoy
2017-05-01/2017-05-07,146655191445.0,148380909203.0,528720181291.0,-0.08931918958765961,margin_borrow_amount_W_yoy
2017-05-08/2017-05-14,154719895476.0,180385628768.0,514216422190.0,-0.23070830402059594,margin_borrow_amount_W_yoy
2017-05-15/2017-05-21,165905594413.0,166280673166.0,363794160195.0,-0.1981213447586947,margin_borrow_amount_W_yoy
2017-05-22/2017-05-28,159879354240.0,172797797971.0,358156972671.0,-0.12102479698166813,margin_borrow_amount_W_yoy
2017-05-29/2017-06-04,89218864883.0,95210230354.0,356176682853.0,-0.4876317505828991,margin_borrow_amount_W_yoy
2017-06-05/2017-06-11,160619269092.0,158013235476.0,504070812514.0,-0.1897136794800155,margin_borrow_amount_W_yoy
2017-06-12/2017-06-18,160475830694.0,155472260047.0,358413770932.0,-0.2413506104756621,margin_borrow_amount_W_yoy
2017-06-19/2017-06-25,182718088129.0,181535604696.0,507890577040.0,-0.08921948840535887,margin_borrow_amount_W_yoy
2017-06-26/2017-07-02,188209500950.0,179397934898.0,511528278042.0,0.2360678901056581,margin_borrow_amount_W_yoy
2017-07-03/2017-07-09,201761692103.0,197390851860.0,513724680300.0,-0.29338239173749103,margin_borrow_amount_W_yoy
2017-07-10/2017-07-16,221592264498.0,221004962410.0,365520865611.0,0.09990277086185606,margin_borrow_amount_W_yoy
2017-07-17/2017-07-23,250201522915.0,252475654992.0,516927360025.0,0.33710489174465574,margin_borrow_amount_W_yoy
2017-07-24/2017-07-30,247697834098.0,235141290191.0,524828764794.0,0.6889810149741202,margin_borrow_amount_W_yoy
